eR	2046	0.09400
eS	4452	0.20454
eT	2889	0.13273
eU	421	0.01934
eV	582	0.02674
eW	1616	0.07424
eX	324	0.01489
eY	246	0.01130
eZ	146	0.00671
e1	1987	0.09129
e2	1963	0.09019
e3	784	0.03602
e4	333	0.01530
e5	584	0.02683
e6	326	0.01498
e7	258	0.01185
e8	176	0.00809
e9	211	0.00969
e0	291	0.01337
e`	194	0.00891
e~	226	0.01038
e!	1866	0.08573
e@	252	0.01158
e#	225	0.01034
e$	2475	0.11371
e%	1299	0.05968
e^	136	0.00625
e&	175	0.00804
e*	931	0.04277
e(	65950	3.02997
e)	29061	1.33516
e-	11689	0.53703
e_	17418	0.80024
e=	5028	0.23100
e+	1078	0.04953
e\	646	0.02968
e|	460	0.02113
e]	4042	0.18570
e}	1987	0.09129
e[	6723	0.30888
e{	1293	0.05940
e"	11715	0.53823
e'	4691	0.21552
e;	12805	0.58831
e:	13735	0.63103
e/	1958	0.08996
e?	1253	0.05757
e.	27091	1.24466
e>	2923	0.13429
e,	22604	1.03851
e<	2038	0.09363
e§	312718	14.36736
e¶	45686	2.09897
e¬	300	0.01378
fa	21767	4.30134
fb	573	0.11323
fc	2380	0.47031
fd	925	0.18279
fe	12431	2.45647
ff	18409	3.63777
fg	1111	0.21954
fh	436	0.08616
fi	60208	11.89759
fj	46	0.00909
fk	59	0.01166
fl	15174	2.99851
fm	6745	1.33287
fn	6082	1.20185
fo	77521	15.31878
fp	3123	0.61713
fq	22	0.00435
fr	19349	3.82352
fs	5231	1.03369
ft	17026	3.36448
fu	37192	7.34944
fv	200	0.03952
fw	842	0.16639
fx	727	0.14366
fy	1676	0.33119
fz	39	0.00771
fA	227	0.04486
fB	507	0.10019
fC	223	0.04407
fD	314	0.06205
fE	131	0.02589
fF	329	0.06501
fG	41	0.00810
fH	59	0.01166
fI	165	0.03261
fJ	14	0.00277
fK	21	0.00415
fL	265	0.05237
fM	158	0.03122
fN	302	0.05968
fO	117	0.02312
fP	290	0.05731
fQ	12	0.00237
fR	194	0.03834
fS	398	0.07865
fT	652	0.12884
fU	38	0.00751
fV	65	0.01284
fW	245	0.04841
fX	19	0.00375
fY	126	0.02490
fZ	25	0.00494
f1	1192	0.23555
f2	1228	0.24266
f3	548	0.10829
f4	248	0.04901
f5	195	0.03853
f6	612	0.12094
f7	161	0.03181
f8	397	0.07845
f9	135	0.02668
f0	538	0.10631
f`	59	0.01166
f~	350	0.06916
f!	152	0.03004
f@	70	0.01383
f#	66	0.01304
f$	561	0.11086
f%	438	0.08655
f^	20	0.00395
f&	14	0.00277
f*	263	0.05197
f(	22192	4.38532
f)	4866	0.96156
f-	1703	0.33653
f_	2750	0.54342
f=	511	0.10098
f+	235	0.04644
f\	760	0.15018
f|	119	0.02352
f]	539	0.10651
f}	281	0.05553
f[	1783	0.35234
f{	66	0.01304
f"	1662	0.32842
f'	594	0.11738
f;	2667	0.52702
f:	1451	0.28673
f/	188	0.03715
f?	56	0.01107
f.	6269	1.23881
f>	170	0.03359
f,	4538	0.89675
f<	177	0.03498
f§	119819	23.67721
f¶	11137	2.20076
f¬	41	0.00810
ga	11045	2.85940
gb	1458	0.37746
gc	3231	0.83646
gd	331	0.08569
ge	81154	21.00966
gf	370	0.09579
gg	1641	0.42483
gh	24298	6.29042
gi	26588	6.88327
gj	31	0.00803
gk	26	0.00673
gl	10421	2.69785
gm	2011	0.52062
gn	8788	2.27509
go	10262	2.65669
gp	247	0.06394
gq	3	0.00078
gr	19543	5.05941
gs	12431	3.21822
gt	22140	5.73174
